result_file                                                                             , scope         , fault_category  , match_mode, n  , component_hit, component_acc, keyword_hit, keyword_hit_rate, both_hit, both_hit_rate
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, overall       , ALL             , exact     , 400,           243,       60.75  ,         192,          48.0   ,      148,       37.0
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, dns fault       , exact     ,  21,             3,       14.2857,          15,          71.4286,        3,       14.2857
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, erroneous change, exact     ,  21,            16,       76.1905,           3,          14.2857,        2,        9.5238
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, io fault        , exact     ,  28,            18,       64.2857,          24,          85.7143,       18,       64.2857
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, jvm fault       , exact     ,  55,            45,       81.8182,          41,          74.5455,       35,       63.6364
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, misconfiguration, exact     ,  18,            16,       88.8889,           7,          38.8889,        7,       38.8889
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, network attack  , exact     ,  73,            62,       84.9315,          34,          46.5753,       29,       39.726
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, node fault      , exact     ,  82,            24,       29.2683,          26,          31.7073,       24,       29.2683
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, pod fault       , exact     ,  60,            31,       51.6667,          30,          50.0   ,       18,       30.0
/home/kk/code/history_rca/history_rca_result/history_rca/1771079091917-5662-result.jsonl, fault_category, stress test     , exact     ,  42,            28,       66.6667,          12,          28.5714,       12,       28.5714
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , overall       , ALL             , exact     , 400,           196,       49.0   ,         181,          45.25  ,      126,       31.5
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, dns fault       , exact     ,  21,             3,       14.2857,          13,          61.9048,        2,        9.5238
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, erroneous change, exact     ,  21,             8,       38.0952,           3,          14.2857,        1,        4.7619
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, io fault        , exact     ,  28,             1,        3.5714,          18,          64.2857,        1,        3.5714
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, jvm fault       , exact     ,  55,            26,       47.2727,          14,          25.4545,       11,       20.0
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, misconfiguration, exact     ,  18,            16,       88.8889,           9,          50.0   ,        7,       38.8889
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, network attack  , exact     ,  73,            58,       79.4521,          46,          63.0137,       36,       49.3151
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, node fault      , exact     ,  82,            25,       30.4878,          29,          35.3659,       24,       29.2683
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, pod fault       , exact     ,  60,            34,       56.6667,          26,          43.3333,       24,       40.0
/home/kk/code/history_rca/history_rca_result/micro_rca/micro-4848-result.jsonl          , fault_category, stress test     , exact     ,  42,            25,       59.5238,          23,          54.7619,       20,       47.619
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , overall       , ALL             , exact     , 400,           209,       52.25  ,         151,          37.75  ,      100,       25.0
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , fault_category, dns fault       , exact     ,  21,             1,        4.7619,          13,          61.9048,        1,        4.7619
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , fault_category, erroneous change, exact     ,  21,            14,       66.6667,           3,          14.2857,        1,        4.7619
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , fault_category, io fault        , exact     ,  28,            16,       57.1429,          21,          75.0   ,       16,       57.1429
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , fault_category, jvm fault       , exact     ,  55,            34,       61.8182,          31,          56.3636,       20,       36.3636
/home/kk/code/history_rca/history_rca_result/no_history/4983-result.jsonl               , fault_category, misconfiguration, exact     ,  18,            16,       88.8889,           2,          11.1111,        2,       11.1111
