result_file,scope,fault_category,match_mode,n,component_hit,component_acc,keyword_hit,keyword_hit_rate,both_hit,both_hit_rate
history_rca_result/history_rca/1771079091917-5662-result.jsonl,overall,ALL,contains,400,258,64.5,192,48.0,159,39.75
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,dns fault,contains,21,4,19.0476,15,71.4286,4,19.0476
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,erroneous change,contains,21,18,85.7143,3,14.2857,2,9.5238
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,io fault,contains,28,18,64.2857,24,85.7143,18,64.2857
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,jvm fault,contains,55,51,92.7273,41,74.5455,40,72.7273
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,misconfiguration,contains,18,16,88.8889,7,38.8889,7,38.8889
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,network attack,contains,73,66,90.411,34,46.5753,33,45.2055
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,node fault,contains,82,24,29.2683,26,31.7073,24,29.2683
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,pod fault,contains,60,32,53.3333,30,50.0,19,31.6667
history_rca_result/history_rca/1771079091917-5662-result.jsonl,fault_category,stress test,contains,42,29,69.0476,12,28.5714,12,28.5714
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,overall,ALL,contains,400,226,56.5,181,45.25,139,34.75
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,dns fault,contains,21,4,19.0476,13,61.9048,2,9.5238
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,erroneous change,contains,21,10,47.619,3,14.2857,1,4.7619
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,io fault,contains,28,1,3.5714,18,64.2857,1,3.5714
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,jvm fault,contains,55,38,69.0909,14,25.4545,13,23.6364
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,misconfiguration,contains,18,18,100.0,9,50.0,9,50.0
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,network attack,contains,73,71,97.2603,46,63.0137,45,61.6438
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,node fault,contains,82,25,30.4878,29,35.3659,24,29.2683
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,pod fault,contains,60,34,56.6667,26,43.3333,24,40.0
history_rca_result/micro_rca/4848-submission/4848-result.jsonl,fault_category,stress test,contains,42,25,59.5238,23,54.7619,20,47.619
history_rca_result/micro_rca/micro-4848-result.jsonl,overall,ALL,contains,400,226,56.5,181,45.25,139,34.75
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,dns fault,contains,21,4,19.0476,13,61.9048,2,9.5238
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,erroneous change,contains,21,10,47.619,3,14.2857,1,4.7619
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,io fault,contains,28,1,3.5714,18,64.2857,1,3.5714
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,jvm fault,contains,55,38,69.0909,14,25.4545,13,23.6364
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,misconfiguration,contains,18,18,100.0,9,50.0,9,50.0
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,network attack,contains,73,71,97.2603,46,63.0137,45,61.6438
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,node fault,contains,82,25,30.4878,29,35.3659,24,29.2683
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,pod fault,contains,60,34,56.6667,26,43.3333,24,40.0
history_rca_result/micro_rca/micro-4848-result.jsonl,fault_category,stress test,contains,42,25,59.5238,23,54.7619,20,47.619
history_rca_result/no_history/4983-result.jsonl,overall,ALL,contains,400,233,58.25,151,37.75,115,28.75
