result_file,scope,fault_category,match_mode,n,component_hit,component_acc,keyword_hit,keyword_hit_rate,both_hit,both_hit_rate
output/with_rag_sample.jsonl,overall,ALL,contains,400,299,74.75,250,62.5,227,56.75
output/with_rag_sample.jsonl,fault_category,dns fault,contains,21,10,47.619,14,66.6667,10,47.619
output/with_rag_sample.jsonl,fault_category,erroneous change,contains,21,18,85.7143,3,14.2857,3,14.2857
output/with_rag_sample.jsonl,fault_category,io fault,contains,28,26,92.8571,28,100.0,26,92.8571
output/with_rag_sample.jsonl,fault_category,jvm fault,contains,55,47,85.4545,47,85.4545,43,78.1818
output/with_rag_sample.jsonl,fault_category,misconfiguration,contains,18,17,94.4444,15,83.3333,15,83.3333
output/with_rag_sample.jsonl,fault_category,network attack,contains,73,69,94.5205,62,84.9315,62,84.9315
output/with_rag_sample.jsonl,fault_category,node fault,contains,82,37,45.122,38,46.3415,35,42.6829
output/with_rag_sample.jsonl,fault_category,pod fault,contains,60,36,60.0,29,48.3333,19,31.6667
output/with_rag_sample.jsonl,fault_category,stress test,contains,42,39,92.8571,14,33.3333,14,33.3333
